,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
93,0.05,0.00,0.14,0.01,1.0,0.4,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.4}",0.49,0.51,0.59,0.54,0.54,0.54,0.03,30,0.93,0.94,0.93,0.94,0.93,0.94,0.00
94,0.05,0.00,0.15,0.00,1.0,0.5,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.5}",0.49,0.50,0.55,0.51,0.50,0.51,0.02,47,0.90,0.91,0.90,0.91,0.90,0.90,0.00
95,0.05,0.00,0.15,0.00,1.0,0.6,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.6}",0.43,0.48,0.50,0.47,0.48,0.47,0.03,54,0.87,0.86,0.85,0.86,0.87,0.86,0.01
96,0.05,0.00,0.17,0.00,1.0,0.7,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.7}",0.40,0.42,0.48,0.41,0.41,0.42,0.03,61,0.77,0.78,0.79,0.78,0.80,0.78,0.01
97,0.05,0.00,0.18,0.01,1.0,0.8,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.8}",0.37,0.38,0.44,0.33,0.37,0.38,0.04,64,0.67,0.67,0.68,0.69,0.70,0.68,0.01
98,0.05,0.00,0.18,0.00,1.0,0.9,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 0.9}",0.31,0.30,0.33,0.27,0.33,0.31,0.02,73,0.53,0.56,0.55,0.58,0.56,0.55,0.02
99,0.05,0.00,0.19,0.01,1.0,1.0,"{'clf__svm_gamma': 1.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
100,0.06,0.00,0.19,0.01,10.0,0.1,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.1}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
101,0.06,0.00,0.18,0.00,10.0,0.2,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.2}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
102,0.06,0.00,0.19,0.00,10.0,0.3,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.3}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
103,0.06,0.00,0.19,0.01,10.0,0.4,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.4}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,92,0.93,0.93,0.97,0.93,0.93,0.94,0.02
104,0.06,0.00,0.19,0.01,10.0,0.5,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.5}",0.20,0.20,0.20,0.19,0.20,0.20,0.00,91,0.93,0.93,0.97,0.93,0.93,0.94,0.02
105,0.06,0.00,0.19,0.00,10.0,0.6,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.6}",0.18,0.20,0.19,0.18,0.20,0.19,0.01,96,0.92,0.93,0.97,0.92,0.92,0.93,0.02
